caldt,vwretd
05/29/1947,-0.000990
06/30/1947,0.053991
07/31/1947,0.039572
08/29/1947,-0.023076
09/30/1947,-0.009928
10/31/1947,0.020578
11/29/1947,-0.017633
12/31/1947,0.030784
01/31/1948,-0.037743
02/28/1948,-0.040232
03/31/1948,0.081440
04/30/1948,0.030821
05/28/1948,0.084014
06/30/1948,0.007665
07/30/1948,-0.052296
08/31/1948,0.015539
09/30/1948,-0.027016
10/30/1948,0.070041
11/30/1948,-0.098332
12/31/1948,0.035952
01/31/1949,0.002676
02/28/1949,-0.031639
03/31/1949,0.033981
04/30/1949,-0.018691
05/31/1949,-0.029423
06/30/1949,0.001744
07/29/1949,0.062732
08/31/1949,0.021800
09/30/1949,0.027415
10/31/1949,0.029780
11/30/1949,0.020738
12/31/1949,0.050984
01/31/1950,0.019703
02/28/1950,0.019603
03/31/1950,0.008185
04/29/1950,0.045887
05/31/1950,0.046902
06/30/1950,-0.054224
07/31/1950,0.016981
08/31/1950,0.048063
09/29/1950,0.059466
10/31/1950,0.005084
11/30/1950,0.022430
12/30/1950,0.055425
01/31/1951,0.065105
02/28/1951,0.014546
03/31/1951,-0.017484
04/30/1951,0.049108
05/31/1951,-0.029979
06/29/1951,-0.025848
07/31/1951,0.070935
08/31/1951,0.050220
09/28/1951,0.002868
10/31/1951,-0.013321
11/30/1951,0.011388
12/31/1951,0.041815
01/31/1952,0.017768
02/29/1952,-0.025241
03/31/1952,0.052805
04/30/1952,-0.041423
05/29/1952,0.033698
06/30/1952,0.047832
07/31/1952,0.019129
08/29/1952,-0.005674
09/30/1952,-0.018085
10/31/1952,0.000320
11/28/1952,0.061382
12/31/1952,0.038215
01/30/1953,-0.006207
02/27/1953,-0.007540
03/31/1953,-0.022288
04/30/1953,-0.025308
05/29/1953,0.007401
06/30/1953,-0.014266
07/31/1953,0.026314
08/31/1953,-0.050101
09/30/1953,0.002187
10/30/1953,0.051046
11/30/1953,0.023763
12/31/1953,0.001713
01/29/1954,0.053486
02/26/1954,0.012916
03/31/1954,0.030530
04/30/1954,0.048358
05/28/1954,0.042777
06/30/1954,0.002467
07/30/1954,0.058701
08/31/1954,-0.025894
09/30/1954,0.082500
10/29/1954,-0.017867
11/30/1954,0.095774
12/31/1954,0.054288
01/31/1955,0.018076
02/28/1955,0.013526
03/31/1955,-0.002242
04/29/1955,0.039843
05/31/1955,0.006433
06/30/1955,0.081300
07/29/1955,0.057646
08/31/1955,-0.000648
09/30/1955,0.011286
10/31/1955,-0.030468
11/30/1955,0.087825
12/30/1955,-0.000309
01/31/1956,-0.035057
02/29/1956,0.041397
03/29/1956,0.070328
04/30/1956,-0.000637
05/31/1956,-0.058414
06/29/1956,0.038910
07/31/1956,0.051427
08/31/1956,-0.032788
09/28/1956,-0.044022
10/31/1956,0.006619
11/30/1956,-0.001921
12/31/1956,0.036284
01/31/1957,-0.040238
02/28/1957,-0.024919
03/29/1957,0.023827
04/30/1957,0.046538
05/31/1957,0.038734
06/28/1957,-0.000705
07/31/1957,0.009747
08/30/1957,-0.048998
09/30/1957,-0.057879
10/31/1957,-0.038834
11/29/1957,0.023703
12/31/1957,-0.037422
01/31/1958,0.045518
02/28/1958,-0.014109
03/31/1958,0.033052
04/30/1958,0.033511
05/29/1958,0.021313
06/30/1958,0.027998
07/31/1958,0.043960
08/29/1958,0.017999
09/30/1958,0.050837
10/31/1958,0.027370
11/28/1958,0.028617
12/31/1958,0.054112
01/30/1959,0.006331
02/27/1959,0.006711
